city,site.ID,plant,root.1.L,root.2.L,root.3.L,root.4.L,root.5.L,root.1.nod,root.2.nod,root.3.nod,root.4.nod,root.5.nod,total.root.L,total.nod,nod.density
Toronto,site.18,2,1.3,1.1,1.1,1.7,2,0,0,0,0,0,7.2,0,0
Toronto,site.18,3,2.5,1.3,3.6,4,0,0,3,1,3,0,11.4,7,0.614035088
Toronto,site.18,4,3.2,3,1.6,0,0,0,0,1,0,0,7.8,1,0.128205128
Toronto,site.18,5,5.7,4.4,0,0,0,3,2,0,0,0,10.1,5,0.495049505
Toronto,site.18,6,4.9,0,0,0,0,7,0,0,0,0,4.9,7,1.428571429
Toronto,site.18,7,2.4,2.1,4.2,6.2,0,0,1,2,1,0,14.9,4,0.268456376
Toronto,site.18,8,3.8,2,2.3,2.7,0,0,0,1,1,0,10.8,2,0.185185185
Toronto,site.18,9,1.7,4.6,2.5,2.9,0,1,1,3,2,0,11.7,7,0.598290598
Toronto,site.18,10,5.7,2.7,0,0,0,0,2,0,0,0,8.4,2,0.238095238
Toronto,site.19,1,2.8,0,0,0,0,0,0,0,0,0,2.8,0,0
Toronto,site.19,2,2.1,2.5,3.2,1.6,1.9,2,1,2,5,0,11.3,10,0.884955752
Toronto,site.19,3,2.9,3.1,0,0,0,1,1,0,0,0,6,2,0.333333333
Toronto,site.19,4,1.8,1.4,2.8,4.2,0,0,0,3,1,0,10.2,4,0.392156863
Toronto,site.19,5,2.8,2,3.1,0,0,0,0,0,0,0,7.9,0,0
Toronto,site.19,6,2.8,3.3,3.2,1.5,0,0,1,0,2,0,10.8,3,0.277777778
Toronto,site.19,7,3.7,2.5,4.8,0,0,1,2,1,0,0,11,4,0.363636364
Toronto,site.19,8,1.6,1.8,2.9,2.3,1.9,1,0,1,0,1,10.5,3,0.285714286
Toronto,site.19,9,1.8,2.2,1.5,5,0,3,2,1,5,0,10.5,11,1.047619048
Toronto,site.19,10,3.2,3.5,1.8,2.5,0,0,0,1,2,0,11,3,0.272727273
Toronto,site.20,1,2.2,2.7,2.9,0,0,1,0,2,0,0,7.8,3,0.384615385
Toronto,site.20,2,3.9,4.7,7.8,0,0,3,0,0,0,0,16.4,3,0.182926829
Toronto,site.20,3,4,3.2,3.4,0,0,0,0,0,0,0,10.6,0,0
Toronto,site.20,4,0.7,2.9,3.7,0,0,0,0,3,0,0,7.3,3,0.410958904
Toronto,site.20,5,1.7,1.8,2.2,3.7,0,0,1,1,0,0,9.4,2,0.212765957
Toronto,site.20,6,2.6,3.6,1.4,2.5,0,1,1,0,1,0,10.1,3,0.297029703
Toronto,site.20,7,1.9,3.3,3.3,1.3,0.7,1,0,0,2,0,10.5,3,0.285714286
